"","Sample Key","Mean Abs.","%RSD"
"1",NA,5e-04,NA
"2",10,0.1086,3.87
"3",10,0.1161,4.45
"4",10,0.112,1
"5",1,4e-04,NA
"6",2,0.0105,7.49
"7",3,0.0226,0.14
"8",4,0.0584,2.64
"9",5,0.1149,3.62
"10",6,0.0086,7.27
"11",7,-0.0016,6.84
"12",8,0.0019,NA
"13",9,-0.0019,11.08
"14",10,-6e-04,NA
"15",11,-0.0017,5.71
"16",12,0.0017,NA
"17",13,0.0153,3.18
"18",14,0.0033,12.15
"19",15,0.016,2.32
"20",16,0.0039,10.39
"21",17,0.0206,3.02
"22",18,0.0029,4.69
"23",19,0.0209,3.43
"24",20,-0.002,11.59
"25",21,5e-04,19.53
"26",22,0.0072,4.2
"27",23,0.0143,3.94
"28",24,0.0188,3.5
"29",25,-0.0024,10.59
"30",26,0.0089,8.18
"31",27,0.0202,1.79
"32",28,-0.0018,10.83
"33",29,0.0096,4.23
"34",30,0.0222,2.93
"35",31,0.0643,3.57
"36",32,0.1266,2.26
"37",38,0.0111,6.4
"38",NA,-0.0025,17.26
"39",39,0.0172,2.01
"40",40,0.0049,4.45
"41",41,0.0058,1.64
"42",42,-5e-04,NA
"43",43,-7e-04,NA
"44",44,0.0247,2.39
"45",45,0.0064,2.38
"46",46,0.0102,4.06
"47",47,0.0252,1.36
"48",48,0.0132,4.62
"49",49,-0.0012,4.12
"50",50,-0.0014,NA
"51",51,0.0027,2.04
"52",52,0.006,4.14
"53",53,0.0249,4.56
"54",54,0.0063,3.31
"55",55,-0.001,NA
"56",56,0.0068,5.36
"57",57,0.023,3.42
"58",58,0.0079,2.8
"59",59,0.0246,1.06
"60",60,-3e-04,NA
"61",61,0.0123,3.82
"62",62,0.0267,2.5
"63",63,0.0688,2.43
"64",64,0.1422,1.72
"65",NA,-0.0012,NA
